sn	patient	batch	sample_name
W0052_2	W0052	batch_2	PRJEB38984_W0052_2
W0052_3	W0052	batch_3	PRJEB38984_W0052_3
W0052_4	W0052	batch_4	PRJEB38984_W0052_4
W0053_1	W0053	batch_1	PRJEB38984_W0053_1
W0053_2	W0053	batch_2	PRJEB38984_W0053_2
W0053_3	W0053	batch_3	PRJEB38984_W0053_3
W0053_4	W0053	batch_4	PRJEB38984_W0053_4
W0054_1	W0054	batch_1	PRJEB38984_W0054_1
W0054_2	W0054	batch_2	PRJEB38984_W0054_2
W0054_3	W0054	batch_3	PRJEB38984_W0054_3
W0054_4	W0054	batch_4	PRJEB38984_W0054_4
W0055_1	W0055	batch_1	PRJEB38984_W0055_1
W0055_2	W0055	batch_2	PRJEB38984_W0055_2
W0055_3	W0055	batch_3	PRJEB38984_W0055_3
W0055_4	W0055	batch_4	PRJEB38984_W0055_4
W0056_1	W0056	batch_1	PRJEB38984_W0056_1
W0056_2	W0056	batch_2	PRJEB38984_W0056_2
W0056_3	W0056	batch_3	PRJEB38984_W0056_3
W0056_4	W0056	batch_4	PRJEB38984_W0056_4
W0057_1	W0057	batch_1	PRJEB38984_W0057_1
W0057_2	W0057	batch_2	PRJEB38984_W0057_2
W0057_3	W0057	batch_3	PRJEB38984_W0057_3
W0057_4	W0057	batch_4	PRJEB38984_W0057_4
W0058_1	W0058	batch_1	PRJEB38984_W0058_1
W0058_2	W0058	batch_2	PRJEB38984_W0058_2
W0058_3	W0058	batch_3	PRJEB38984_W0058_3
W0058_4	W0058	batch_4	PRJEB38984_W0058_4
W0059_1	W0059	batch_1	PRJEB38984_W0059_1
W0059_2	W0059	batch_2	PRJEB38984_W0059_2
W0059_3	W0059	batch_3	PRJEB38984_W0059_3
W0059_4	W0059	batch_4	PRJEB38984_W0059_4
W0060_1	W0060	batch_1	PRJEB38984_W0060_1
W0060_2	W0060	batch_2	PRJEB38984_W0060_2
W0060_3	W0060	batch_3	PRJEB38984_W0060_3
W0060_4	W0060	batch_4	PRJEB38984_W0060_4
W0061_1	W0061	batch_1	PRJEB38984_W0061_1
W0061_2	W0061	batch_2	PRJEB38984_W0061_2
W0061_3	W0061	batch_3	PRJEB38984_W0061_3
W0061_4	W0061	batch_4	PRJEB38984_W0061_4
W0062_1	W0062	batch_1	PRJEB38984_W0062_1
W0062_2	W0062	batch_2	PRJEB38984_W0062_2
W0062_3	W0062	batch_3	PRJEB38984_W0062_3
W0062_4	W0062	batch_4	PRJEB38984_W0062_4
W0063_1	W0063	batch_1	PRJEB38984_W0063_1
W0063_2	W0063	batch_2	PRJEB38984_W0063_2
W0063_3	W0063	batch_3	PRJEB38984_W0063_3
W0063_4	W0063	batch_4	PRJEB38984_W0063_4
W0064_1	W0064	batch_1	PRJEB38984_W0064_1
W0064_2	W0064	batch_2	PRJEB38984_W0064_2
W0064_3	W0064	batch_3	PRJEB38984_W0064_3
W0064_4	W0064	batch_4	PRJEB38984_W0064_4
W0065_1	W0065	batch_1	PRJEB38984_W0065_1
W0065_2	W0065	batch_2	PRJEB38984_W0065_2
W0065_3	W0065	batch_3	PRJEB38984_W0065_3
W0065_4	W0065	batch_4	PRJEB38984_W0065_4
W0066_1	W0066	batch_1	PRJEB38984_W0066_1
W0066_2	W0066	batch_2	PRJEB38984_W0066_2
W0066_3	W0066	batch_3	PRJEB38984_W0066_3
W0066_4	W0066	batch_4	PRJEB38984_W0066_4
W0067_1	W0067	batch_1	PRJEB38984_W0067_1
W0067_2	W0067	batch_2	PRJEB38984_W0067_2
W0067_3	W0067	batch_3	PRJEB38984_W0067_3
W0067_4	W0067	batch_4	PRJEB38984_W0067_4
W0068_1	W0068	batch_1	PRJEB38984_W0068_1
W0068_2	W0068	batch_2	PRJEB38984_W0068_2
W0068_3	W0068	batch_3	PRJEB38984_W0068_3
W0068_4	W0068	batch_4	PRJEB38984_W0068_4
W0069_1	W0069	batch_1	PRJEB38984_W0069_1
W0069_2	W0069	batch_2	PRJEB38984_W0069_2
W0069_3	W0069	batch_3	PRJEB38984_W0069_3
W0069_4	W0069	batch_4	PRJEB38984_W0069_4
W0070_1	W0070	batch_1	PRJEB38984_W0070_1
W0070_2	W0070	batch_2	PRJEB38984_W0070_2
W0070_3	W0070	batch_3	PRJEB38984_W0070_3
W0070_4	W0070	batch_4	PRJEB38984_W0070_4
W0071_1	W0071	batch_1	PRJEB38984_W0071_1
W0071_2	W0071	batch_2	PRJEB38984_W0071_2
W0071_3	W0071	batch_3	PRJEB38984_W0071_3
W0071_4	W0071	batch_4	PRJEB38984_W0071_4
W0072_1	W0072	batch_1	PRJEB38984_W0072_1
W0072_2	W0072	batch_2	PRJEB38984_W0072_2
W0072_3	W0072	batch_3	PRJEB38984_W0072_3
W0072_4	W0072	batch_4	PRJEB38984_W0072_4
W0073_1	W0073	batch_1	PRJEB38984_W0073_1
W0073_2	W0073	batch_2	PRJEB38984_W0073_2
W0073_3	W0073	batch_3	PRJEB38984_W0073_3
W0073_4	W0073	batch_4	PRJEB38984_W0073_4
W0074_1	W0074	batch_1	PRJEB38984_W0074_1
W0074_2	W0074	batch_2	PRJEB38984_W0074_2
W0074_3	W0074	batch_3	PRJEB38984_W0074_3
W0074_4	W0074	batch_4	PRJEB38984_W0074_4
W0075_1	W0075	batch_1	PRJEB38984_W0075_1
W0075_2	W0075	batch_2	PRJEB38984_W0075_2
W0075_3	W0075	batch_3	PRJEB38984_W0075_3
W0075_4	W0075	batch_4	PRJEB38984_W0075_4
W0076_1	W0076	batch_1	PRJEB38984_W0076_1
W0076_3	W0076	batch_3	PRJEB38984_W0076_3
W0076_4	W0076	batch_4	PRJEB38984_W0076_4
W0077_1	W0077	batch_1	PRJEB38984_W0077_1
W0077_2	W0077	batch_2	PRJEB38984_W0077_2
W0077_3	W0077	batch_3	PRJEB38984_W0077_3
W0077_4	W0077	batch_4	PRJEB38984_W0077_4
W0078_1	W0078	batch_1	PRJEB38984_W0078_1
W0078_2	W0078	batch_2	PRJEB38984_W0078_2
W0078_3	W0078	batch_3	PRJEB38984_W0078_3
W0079_1	W0079	batch_1	PRJEB38984_W0079_1
W0079_2	W0079	batch_2	PRJEB38984_W0079_2
W0079_3	W0079	batch_3	PRJEB38984_W0079_3
W0079_4	W0079	batch_4	PRJEB38984_W0079_4
W0080_1	W0080	batch_1	PRJEB38984_W0080_1
W0080_2	W0080	batch_2	PRJEB38984_W0080_2
W0080_3	W0080	batch_3	PRJEB38984_W0080_3
W0080_4	W0080	batch_4	PRJEB38984_W0080_4
W0081_1	W0081	batch_1	PRJEB38984_W0081_1
W0081_2	W0081	batch_2	PRJEB38984_W0081_2
W0081_3	W0081	batch_3	PRJEB38984_W0081_3
W0081_4	W0081	batch_4	PRJEB38984_W0081_4
W0082_1	W0082	batch_1	PRJEB38984_W0082_1
W0082_2	W0082	batch_2	PRJEB38984_W0082_2
W0082_3	W0082	batch_3	PRJEB38984_W0082_3
W0082_4	W0082	batch_4	PRJEB38984_W0082_4
W0083_1	W0083	batch_1	PRJEB38984_W0083_1
W0083_2	W0083	batch_2	PRJEB38984_W0083_2
W0083_3	W0083	batch_3	PRJEB38984_W0083_3
W0083_4	W0083	batch_4	PRJEB38984_W0083_4
W0084_1	W0084	batch_1	PRJEB38984_W0084_1
W0084_2	W0084	batch_2	PRJEB38984_W0084_2
W0084_3	W0084	batch_3	PRJEB38984_W0084_3
W0084_4	W0084	batch_4	PRJEB38984_W0084_4
W0085_1	W0085	batch_1	PRJEB38984_W0085_1
W0085_2	W0085	batch_2	PRJEB38984_W0085_2
W0085_3	W0085	batch_3	PRJEB38984_W0085_3
W0085_4	W0085	batch_4	PRJEB38984_W0085_4
W0086_1	W0086	batch_1	PRJEB38984_W0086_1
W0086_2	W0086	batch_2	PRJEB38984_W0086_2
W0086_3	W0086	batch_3	PRJEB38984_W0086_3
W0086_4	W0086	batch_4	PRJEB38984_W0086_4
W0087_1	W0087	batch_1	PRJEB38984_W0087_1
W0087_2	W0087	batch_2	PRJEB38984_W0087_2
W0087_3	W0087	batch_3	PRJEB38984_W0087_3
W0087_4	W0087	batch_4	PRJEB38984_W0087_4
W0088_1	W0088	batch_1	PRJEB38984_W0088_1
W0088_2	W0088	batch_2	PRJEB38984_W0088_2
W0088_3	W0088	batch_3	PRJEB38984_W0088_3
W0088_4	W0088	batch_4	PRJEB38984_W0088_4
W0089_1	W0089	batch_1	PRJEB38984_W0089_1
W0089_2	W0089	batch_2	PRJEB38984_W0089_2
W0089_3	W0089	batch_3	PRJEB38984_W0089_3
W0089_4	W0089	batch_4	PRJEB38984_W0089_4
W0090_1	W0090	batch_1	PRJEB38984_W0090_1
W0090_2	W0090	batch_2	PRJEB38984_W0090_2
W0090_3	W0090	batch_3	PRJEB38984_W0090_3
W0090_4	W0090	batch_4	PRJEB38984_W0090_4
W0091_1	W0091	batch_1	PRJEB38984_W0091_1
W0091_2	W0091	batch_2	PRJEB38984_W0091_2
W0091_3	W0091	batch_3	PRJEB38984_W0091_3
W0091_4	W0091	batch_4	PRJEB38984_W0091_4
W0092_1	W0092	batch_1	PRJEB38984_W0092_1
W0092_2	W0092	batch_2	PRJEB38984_W0092_2
W0092_3	W0092	batch_3	PRJEB38984_W0092_3
W0092_4	W0092	batch_4	PRJEB38984_W0092_4
W0093_1	W0093	batch_1	PRJEB38984_W0093_1
W0093_2	W0093	batch_2	PRJEB38984_W0093_2
W0093_3	W0093	batch_3	PRJEB38984_W0093_3
W0093_4	W0093	batch_4	PRJEB38984_W0093_4
W0094_1	W0094	batch_1	PRJEB38984_W0094_1
W0094_2	W0094	batch_2	PRJEB38984_W0094_2
W0094_4	W0094	batch_4	PRJEB38984_W0094_4
W0095_1	W0095	batch_1	PRJEB38984_W0095_1
W0095_3	W0095	batch_3	PRJEB38984_W0095_3
W0095_4	W0095	batch_4	PRJEB38984_W0095_4
W0096_1	W0096	batch_1	PRJEB38984_W0096_1
W0096_2	W0096	batch_2	PRJEB38984_W0096_2
W0096_3	W0096	batch_3	PRJEB38984_W0096_3
W0096_4	W0096	batch_4	PRJEB38984_W0096_4
W0097_1	W0097	batch_1	PRJEB38984_W0097_1
W0097_2	W0097	batch_2	PRJEB38984_W0097_2
W0098_1	W0098	batch_1	PRJEB38984_W0098_1
W0098_2	W0098	batch_2	PRJEB38984_W0098_2
W0098_3	W0098	batch_3	PRJEB38984_W0098_3
W0098_4	W0098	batch_4	PRJEB38984_W0098_4
W0099_1	W0099	batch_1	PRJEB38984_W0099_1
W0099_2	W0099	batch_2	PRJEB38984_W0099_2
W0099_3	W0099	batch_3	PRJEB38984_W0099_3
W0099_4	W0099	batch_4	PRJEB38984_W0099_4
W0100_1	W0100	batch_1	PRJEB38984_W0100_1
W0100_2	W0100	batch_2	PRJEB38984_W0100_2
W0100_3	W0100	batch_3	PRJEB38984_W0100_3
W0103_1	W0103	batch_1	PRJEB38984_W0103_1
